arabic,english
لا تصرخ في وجهي,dont yell at me
يسكن عمي في شقه,my uncle lives in an apartment
لا يوجد شخص معصوم,nobodys perfect
و اخيرا اتي,at last he came
خطير جدا لك ان تكوني هنا,its too dangerous for you to stay here
متي ستعود يعتمد ذلك علي الجو,when will you be back it all depends on the weather
من الممكن ان لا تاتي,she may not come
اود التحدث مع المدير,id like to talk to the manager
لن اذهب ما لم تخبرني اين اجد توم,im not leaving until you tell me where i can find tom
تعال الي منزلي,come to my house
احب الافلام الامريكيه,i love american movies
لدي سياره حمراء جديده,i have a new red car
لا بد انه من الجنوب,he must be from the south
اذا لم تسرع سيفوتك القطار,if you dont hurry youll miss the train
انها قصه مضحكه,its a funny story
لماذا تحدث هذه الاشياء لي,why do these things happen to me
تضرب الزلازل اليابان بكثره,earthquakes frequently hit japan
انه يحب مدرسته كثيرا,he likes his school a lot
الامواج عاليه,the waves are high
سوف اعلمك كيفيه صيد السمك الاحد المقبل,im going to teach you how to fish next sunday
اريد حاسوبا شخصيا,i want a personal computer
سيذهب توم الي مدرسه داخليه في العام القادم,tom is going to boarding school next year
توم يحب الخروج,tom loves going out
لم تاكل شيئا,you havent eaten anything
اعود الي البيت عاده عند الساعه الرابعه,i usually go home at four
هل البنك بعيد عن هنا,is the bank far from here
من فضلك اخلع نعليك,please take your shoes off
غيرت الفتاه شكلها,this girl changed her look
انت مسؤول عما تفعل,you are responsible for what you do
انا متعب,im tired
ماذا علي ان احضر,what should i bring
انتقل الي الجزء الخلفي من الباص رجاء,please move to the rear of the bus
هل تلعب كره القدم,do you play soccer
جاءت اليوغا من الهند,yoga comes from india
لا يبدو علي توم انه مقتنع,tom doesnt look convinced
انه خطير للغايه,its too dangerous
تحب الفساتين الزرقاء,she likes blue dresses
حصل توم علي هذه التذاكر بالمجان,tom got these tickets for free
يحدث ذلك كثيرا,such a thing occurs frequently
الي اين نحن ذاهبون,where are we going
ليس لديك حمي,you dont have a fever
اخرج دفترا,he took a notebook out
عاده امشي,i usually walk
ادخلت رسالتك السعاده علي قلبي,your letter made me happy
درسني التاريخ,he taught me history
في هذا النادي خمسون عضوا,there are fifty members in this club
امتلا قلبي فرحا,my heart was filled with happiness
هل تدربت علي عزف البيانو هذا الصباح,did you practice the piano this morning
للاسف ذلك صحيح,it is unfortunately true
لست استعوب هذا السؤال ابدا,i dont understand this question at all
لن نخسر,we arent going to lose
ليس من السهل العيش مع توم,living with tom isnt easy
تم اشعار الجميع,everyone noticed
لم اهرب,i didnt run away
الا يفترض بك ان تستعد للمدرسه,shouldnt you be getting ready for school
لوني المفضل هو الاحمر,my favorite color is red
يوجد الكثير من الحيوانات في المنتزه,there are lots of animals in the park
رايت اباك,i saw your father
انا اقرا,im reading
اين يمكنني ان اشتري تذكره,where can i buy a ticket
روما مدينه قديمه,rome is an old city
غادر توم في الصباح التالي,tom left the next morning
ثم ماذا,then what
لا اعرف كيف اشكرك,i dont know how to thank you
من حظنا وجود توم هنا ليساعدنا,were lucky tom is here to help us
هل تتحدث اللاتينيه,do you speak latin
يصاحب البرق الرعد عاده,lightning normally accompanies thunder
كنت فرحا بالامس,i was happy yesterday
احك لي عنه,tell me about him
هيا بنا,lets go
اليك بكتاب,here is a book
كنت حذرا جدا لكنني اصبت بنزله برد,i was very careful but i caught a cold
انا من مصر,i am from egypt
الصندوق فارغ تقريبا,the box is almost empty
لقد حذرت الاولاد من اللعب علي الطريق,she warned the children not to play on the street
كلمتني بالاسبانيه,she spoke to me in spanish
انظر الي,look at me
ارتكبت خطا فادحا,i made a nightmarish mistake
لم تر طبيبا,why not see the doctor
سانزل عند المحطه القادمه,im getting off at the next station
اصدقك,i believe you
هل تتحدث السويديه,do you speak swedish
اشتقت اليك حقا,i really miss you
توم ليس سعيدا,tom isnt happy
سوف يتوقف المطر قريبا,itll stop raining before long
يري توم بان الطعام الذي تعده ماري حار جدا,tom thinks the food mary makes is usually too spicy
انا جائع جدا,i am terribly hungry
شربت عصيرا بعد الاستحمام,after taking a bath i drank juice
استمرت المحاضره مده ساعتين,the lecture lasted for two hours
انا انتظر قرارك علي احر من الجمر,i eagerly await your decision
لم ارغب بان ابدوا غبيا,i didnt want to look stupid
درست في بوسطون من عام الفين و ثلاثه الي عام الفين و سبعه للميلاد,i studied in boston from 2003 to 2007
انا بخير شكرا لك,im fine thank you
قال لي الا اقود بسرعه,he told me not to drive too fast
لماذا ذهبت الي طوكيو,why did you go to tokyo
استمعت لي,she listened to me
لا يمكنك ان تفعل شيئين في الوقت نفسه,you cant do two things at once
كنت هناك لثلاثه ايام فقط,i was only there for three days
لا تتهرب من سؤالي,dont avoid my question
لم تات قبل الثانيه,she didnt come before two
اخذ الصغير يبكي طيله الليل,the baby cried all night
لدي الم في ظهري,i have a pain in my back
سفينه الشحن وصلت مبكره باربع ساعات,the cargo ship arrived four hours early
الجمال جمال النفس,beauty is but skin deep
انفجر غاضبا,he exploded with anger
انا نظرت الي نفسي في المراه ولم احب ما رايت,i looked at myself in the mirror and i didnt like what i saw
سر بسرعه او انك ستفوت القطار,walk faster or youll miss the train
اللحم بدا يتعفن,the meat has begun to rot
اتساءل ما اذا كانت ستعترف لي بعد العديد من السنوات,i wonder if shell recognize me after so many years
تحدثت ماري باليابانيه ببطئ,mary spoke japanese slowly
ماذا تقول,whatre you saying
انها لذيذه المذاق,it tastes really good
اعطيت معطفا جديدا,i was given a new jacket
متي ستعود الي البيت,when will you come home
احتاج نصيحتك,i need your advice
حاول ان يتقن الفرنسيه,he tried to master french
كثيرا ما اصاب بالزكام,i often catch colds
انا لو اصبحت غنيا سوف اشتريه,if i get rich i will buy it
اعطي كل واحد منهم قلم رصاص,he gave each of them a pencil
سيارتي المانيه الصنع,my car is german
القرار لك,its up to you to decide
تشرفت بلقائك,im pleased to meet you
لا تستخدم هذا الصنبور,dont use this faucet
الجميع ينتظرونك,everybody is waiting for you
التلوث يضر كوكبنا,pollution is damaging our earth
انهيت قراءه الكتاب للتو,i just finished reading the book
يجب ان تحترم قوانين المدرسه,you must follow school rules
ساوافيك لاحقا,ill join you later
هو يستطيع ان يفعلها احسن مني,he can do it better than me
اطفئ الضوء من فضلك,turn off the light please
لم يكتب شيء علي المروحيه,nothing is written on the helicopter
اخلع شرابك من فضلك,take off your socks please
الحفل اختتم بالنشيد الوطني,the concert concluded with the national anthem
ايمكنك اخباري عن سبب حبك لها,could you please tell me why you love her
اين الحمام,wheres the toilet
ايمكنك اخذنا الي المتحف البريطاني,can you take us to the british museum
توم له الحق في معرفه الحقيقه,tom has a right to know the truth
كانت تجربه محطمه للاعصاب,it was a nervewracking experience
بما انك هنا لعلنا نبدا,since youre here we might as well begin
لحسن الحظ لم يتاذ احد,fortunately no one was hurt
تستطيع السباحه اليس كذلك,you can swim cant you
كاد الولد ان يغرق,the boy was almost drowned
هل هو غال جدا,is that too expensive
ساعدني اخي ان احل واجبي,my brother helped me with my homework
والدنا يذهب الي العمل بالسياره,our father goes to work by car
اتوتر دائما قبل ان اخرج الي المسرح,i always get nervous before i go on stage
استفد من وقتك جيدا,make good use of your time
استطيع فعل كل شيء بنفسي,i can do everything myself
انها حاره جدا,its too hot
توقف الحصان و رفض ان يتحرك,the horse stopped and wouldnt move
سبق ان حادثت توم,ive already spoken with tom
انت لا تستطيع تحدث الانجليزيه هل تستطيع,you cant speak english can you
هذه الورده اجمل من تلك,this flower is more beautiful than that one
فجاه بدا كلب بالنباح,all of a sudden a dog began barking
كانت تعمل طوال اليوم,shes been working all day long
لم احبه,i didnt like it
علي ان ادرس اليابانيه,i have to study japanese
اطلق علي توم فقتل,tom was shot and killed
لم يستسلموا,they didnt give up
انا متاكد من انها ستعود قريبا,im sure she will return soon
قيادتها للدراجه الناريه جيده,she rides a motorcycle well
خطها جميل,she has beautiful handwriting
دامت الحرب سنتين,the war lasted two years
كانت المراه الجريحه سائحه برازيليه,the wounded woman was a brazilian tourist
انا تايلاندي,i am thai
لا اظن انه قادم,i think he wont come
في الحقيقه انه مخطئ,frankly speaking he is wrong
غزي الكثير من السياح الجزيره,a lot of tourists invaded the island
انا كبير بما يكفي لاشرب,im old enough to drink
ايهما كتابك,which is your book
عليك العوده,you have to come back
احبك و اريد الزواج بك,im in love with you and i want to marry you
وعدني توم بانه سيكون هنا عند 230,tom promised to be here at 230
ادين بنجاحي لصديقي,i owe my success to my friend
بالرغم من فقره الا انه تغمره السعاده,even though he was poor he was happy
فشل بسبب قله المال,he failed due to lack of money
انا اقترحت لتوم امكانيه العمل مع ماري,i suggested to tom the possibility that he work with mary
لن اؤذيك,i wont harm you
هل تعلم اليابانيه ايضا,did he learn japanese as well
توقف عن ضرب اختك,stop hitting your sister
لم يعر اي اهتمام لنصيحتي,he paid no attention to my advice
انها رائعه جدا عليك,its very nice of you
انا احاول ان اساعدك,im trying to help you
اغلق فمك,shut up
ما رايك بالذهاب لمشاهده فلم,how about going to a movie
توم التقط بطل الشامبو و بخ القليل في يده,tom picked up the bottle of shampoo and squirted some in his hand
كنت مشغولا,ive been busy
توم يرتدي معطف رياطي,tom is wearing a sports coat
الن تخبر توم,arent you going to tell tom
اريد ان ابدو غنيا,i want to look rich
ان الطقس حار للغايه,its too hot
هذا طبيعي نوعا ما,thats pretty normal
هو رامي اساسي في رياضه البيسبول,he is an ace pitcher
انها لا تعجبني,i dont like her
مللت,im bored
هذا هو منزله,that is his house
اعاد توم المال لماري,tom paid mary back
هذا الطائر لا يمكنه الطيران,this bird cannot fly
ساحول المبلغ,i will transfer the money
هل انا فزت,did i win
ايمكنني استخدام بطاقه ائتماني,can i use my credit card
انه صغير وغير ناضج,he is young and immature
لمن هذه اللوحات,whose paintings are these
ماذا يفعل الان توم,whats tom doing now
كنت في دور عرض للسينما,i was at a movie theater
خرجت العائله كلها لتتمشي,the whole family is out for a walk
توم قال انه قد يكون هنا,tom said hed be here
منزلك رائع,your house is fantastic
ما المجال الذي قمت بدراسته في الجامعه,what did you major in at college
لماذا تعلم ذلك,why do you know that
انهيت قراءه ذلك الكتاب,ive finished reading that book
اعتقد ان الحياه هي ما تصنعه,i think life is what you make it
يمكن لتوم توضيح ذلك,tom could explain that
هبطت الطائره في طوكيو,the jet landed at tokyo
متي يبدا الفلم,what time does the movie start
لا اشعر بتناول اي طعام اليوم,i dont feel like eating anything today
صفق الجمهور للممثله,the audience applauded the actress
حاول توم ان يقتلني,tom tried to kill me
الخطوه الاولي دائما ما تكون الاصعب,the first step is always the hardest
انه فرنسي,he is french
متي سيصلوا,when will they arrive
هل يوجد اي شيء اخر تريد ان تخبرني به,is there anything else you want to tell me
كن مؤدبا مع والديك,be polite to your parents
وصل القطار,the train has arrived
لم ينجحوا,they didnt succeed
انا لست ذاهبا,im not going
هذا حقا ممتع,this is really interesting
هل الحمام جاهز,is the bath ready
كم ثمن نصف كيلو,how much for half a kilo
لماذا هو موجود هنا,why is he here
دعنا ننقسم,lets split
انت كيف عرفت ذلك,how did you know that
اعرف اخاك جيدا,i know your brother very well
انا جائع قليلا,im a bit hungry
اصر علي الافضل,insist on the best
هل كانت قصتها حقيقيه,was her story true
في البندقيه دائما هنالك الكثير من السياح,in venice there are always lots of tourists
اين هم,where are they
اختر ما تريد,choose whichever you like
اجبرت علي الذهاب هناك,i was made to go there
انه مجنون بحبك,hes crazy about you
دائما ما اراه ضاحكا,he is always laughing
تعبت من الرقود في السرير طوال اليوم,i got tired of lying in bed all day
مليون شخص استشهدوا في الحرب,one million people lost their lives in the war
ساعلمك كيف تقود السياره,ill teach you how to drive a car
اترك مكتبك كما هو,leave your desk as it is
ما الذي يحدث,whats going on
اريد ان اذهب الي البيت,i want to go home
يجب ان تلتزم الصمت,you must keep quiet
هل تستطيع اكل المحار النيء,can you eat raw oysters
انه عاملني بسوء,he treated me badly
توم لا يستطيع ان يقرر في ما لو يشتري سياره تيوتا او فورد,tom cant decide whether to buy a toyota or a ford
انها تتحدث الالمانيه,she speaks german
ساعدني,help me
اتضح لتوم انه وقع في حب ماري,tom realized that he had fallen in love with mary
انا متزوج,im married
خطر بباله فكره جيده,a good idea crossed his mind
انا من تركيا,im from turkey
اخبرني عنها,tell me about it
ما اسم تلك السمكه بالانجليزيه,what is this fish called in english
اتذكر الحادثه بكل وضوح وكانها حدثت البارحه فقط,i remember the event as clearly as if it had happened just yesterday
الموقف اسوا مما نظن,the situation is worse than we believed
لن تصدق ما قاله لي توم,you wont believe what tom told me
تبدو خطتك جيده,your plan sounds great
كنت احب السباحه,i used to love swimming
انا لست مستعجلا,im not in a hurry
لا تبعد المحطه كثيرا عن هنا,the station is not far from here
شكرا لك,thank you
تحب البرتقال,she likes oranges
لدي اخت,i have a sister
كنت هنا البارحه لمده ثلاث ساعات,i was here yesterday for three hours
كم لبثت,how long did you stay
انهالت بالبكاء,she began crying
انشئت مدارس,schools were built
هي لا تريدني ان اتحدث حول هذه المساله,she doesnt want me to speak about this matter
تم اعلام الجميع,everyone noticed
ايطاليا بلد جميل جدا,italy is a very beautiful country
انها ورقه نقديه من فئه المئه دولار,it was a one hundred dollar bill
جاء التحذير متاخرا,the warning came too late
اي تخصص درست في الجامعه,what did you major in at college
تاخرنا بسبب العاصفه,we were late because of the storm
دخل الخريف,its fall now
ظن توم انه سمع بعض الاصوات في الغرفه المجاوره,tom thought he heard some voices in the next room
استطيع ان احمل تلك الحقائب عنك,i can carry those suitcases for you
انتهت الحرب عام ١٩٥٤م,the war ended in 1954
اريد الذهاب لاستراليا لمره اخري قبل ان تنتهي صلاحيه جواز سفري,i want to go to australia one more time before my passport expires
من سيساعدني,who will help me
ليست جديده,it isnt new
ابقي نحيفه,stay thin
اريد ان ابلغ عن سرقه,id like to report a theft
لا اعرف كيف اشكرك,i dont know how to express my thanks
عليك الرحيل,you have to go
انها تفضل البقاء في المنزل علي الخروج,she prefers staying home to going out
ابق هنا معنا,stay here with us
ذهبت الي اوروبا مره,i went to europe once
ظهرت عده حقائق مهمه بعد التحري,a few important facts emerged after the investigation
طمع الانسان يهدد حياه كثير من الانواع الحيه,human greed is threatening the existence of many species
يوجد الكثير من المعابد في كيوتو,there are many shrines in kyoto
اتصل بطبيب في الحال,call a doctor immediately
كان صبورا جدا,he was very patient
عندي سيارتان,i have two cars
بكيت طوال الليل,i cried all night long
عليك ان تصغي لما يقوله توم,you should listen to what tom says
استمع الي,hey listen to me
متي ستذهب,what time are you leaving
هذه رساله مهمه,this is an important letter
لحسن الحظ وجود مظله اضافيه مع توم,luckily tom had an extra umbrella
هل تدرس اللغه الانكليزيه,do you study english
عندي معرفه بهذا الجوار,i am familiar with this neighborhood
انه يستطيع ان يفعل هذا افضل مني,he can do it better than me
انه جديد,it is new
توقف عن ضرب اخيك,stop hitting your brother
اعتقدت انك لن تاتي الي هنا,i thought you would never come here
مع من تريد ان تتحدث,who do you want to talk to
انني احب هذه السياره جدا,i really like this car
بدات احب الصوره اكثر من اي وقت مضي,ive come to like the picture more than ever
لكم اشتقت اليك,how ive missed you
ابتل توم بشده,tom got soaking wet
هذا لا يخصني,this has nothing to do with me
انه يبدو كالحلم,it feels like a dream
ماذا تريد بعد ذلك,what do you want then
ربما علينا جلب توم معنا,maybe we should take tom with us
السيدات اولا,ladies first
لقد اعطي دمه لكي يساعد اخته,he gave his blood to help his sister
هل يوجد اي شخص ربما يريد ان يؤذي توم,is there anyone who might want to hurt tom
عليك ان تقلع عن التدخين,you should quit smoking
صديقي ينبغي ان يكون في المنزل الان,my friend should be home now
سنذهب الي المانيا غدا,we are going to germany tomorrow
اريد بعض المال,i want some money
لن يقوم توم بفعل ذلك ابدا,tom will never do that
متي قال انه سياتي,what time did he say hed come
كره القدم هي رياضه العالم الاكثر شعبيه,soccer is the worlds most popular sport
دعنا نقسم الفاتوره باربعه طرق,lets split the bill four ways
نحتاج الي مساعدتك,we need your help
اصبحت ابنتها امراه جميله,her daughter has become a beautiful woman
كن مستعدا,be prepared
انا لست صدبقتك,im not your girlfriend
قال توم بان ماري لم تكن متعبه,tom said that mary wasnt tired
الرياضيات مادتي المفضله,mathematics is my favorite subject
ليس بامكان جميع الطيور ان تطير,not all birds can fly
هي مغنيه مشهوره,she is a noted singer
هل طلبت الكتاب,did you order the book
مع من تريد التحدث,who do you want to speak to
علي ان انام,i have to go to sleep
تجاهل نصيحتي,he disregarded my advice
افحص ذلك,check that
عندما استيقظت هذا الصباح لم ارد القيام عن السرير,when i woke us this morning i didnt want to get out of bed
انا اريد واحده ايضا,i want one too
انت تذكرني باخيك,you remind me of your brother
كره اهل بوسطن الجنود البريطانيين,the people of boston hated the british soldiers
هناك كتاب هنا,theres a book here
ارفع يدك اليمني,raise your right hand
كن حذرا,be discreet
قمت بما علي,ive done my duty
اين ستاكل طعام الغداء,where are you going to eat lunch
في هذا العالم يعاني بعض الناس الجوع,some people in the world suffer from hunger
لدينا كلب كبير,we have a big dog
يا لها من مفاجاه جميله,what a nice surprise
نحن مستعدون بشكل جيد,weve prepared well
انك تبلي حسنا,you are doing very well
يعمل توم في مقهي,tom works in a coffee shop
اعتقد انه ينبغي عليك ان تقراه بنفسك,i think you should read it yourself
سقطت الكثير من الاشجار,many trees fell down
من تظن نفسك,who do you think you are
هذا مهم جدا,this is very important
نحن لا نعرفه,we dont know him
الكلب اعور,the dog is blind in one eye
كان توم يعمل لمؤسسه كبيره في بوسطن,tom used to work for a big firm in boston
لن ادعك تفعل ذلك ثانيه,ill never let you do that again
انه يوم الاثنين,its monday
اطفئ النور اذا سمحت,turn off the light please
لا اعرف ماذا اقول,im at a loss for words
انه ماهر في القياده,he is good at driving
توقف عن شد شعري,stop pulling my hair
لا تستهن بقوتي,dont underestimate my power
الهاتف المتحرك الذي طلبته مغلق او خارج نطاق الخدمه حاليا يرجي الاتصال لاحقا,the mobile phone you have dialed is either switched off or outside the coverage area please try again later
رج العبوه قبل استخدامها,shake the bottle before using
انها فكره جيده,thats a great idea
انا اطبخ لكن لا افعل هذا بمتعه كبيره,i cook but i dont do that with much pleasure
انا ممتن للغايه لمساعدتك,im very grateful for your help
الا تظن ان عليك اخذ قسط من الراحه,dont you think you should get some rest
انا لست قلقا كثيرا بشان سيرتي الذاتيه,i dont worry so much about my resume
اشار ان تنفيذ الخطه سيكلف الكثير من المال,he pointed out that the plan would cost a lot of money
نادرا ما تخرج ايام الاحد,she rarely goes out on sundays
لا تخبر احدا بذلك,dont tell anyone this
لا يمكنني الانتظار للوصول الي المنزل والنوم في سريري,i can hardly wait to get home and sleep in my own bed
ايمكنني ان اطرح بعض الاسئله,may i ask some questions
علي ان ارتاح لدقيقه,i need to rest a moment
قصدت ذلك,i meant it
اعتقد من المحتمل بان توم يفضل هذا الفلم,i think tom is likely to like this movie
سال توم ماري ما ان كانت تخطط لشراء سياره جديده,tom asked mary if she was planning to buy a new car
لا تتكلم هكذا,dont talk like that
دع توم يذهب,let tom go
بكم هذه الدراجه الجبليه,how much is that mountain bike
ماذا يحدث هنا,whats going on here
علمت بان ذلك لن يكون سهلا بهذا القدر,i knew it couldnt be that easy
صدم الكلب شاحنه,a truck hit the dog
كلمني,talk to me
هناك تفاحه واحده علي المكتب,there is one apple on the desk
اكتب رساله,im writing a letter
توم وحيد تماما من جديد,tom is all alone again
لدي قاموس,i have a dictionary
انها تدرس القراءه و الكتابه,she teaches reading and writing
اشك في صحه ذلك,i dont think thats correct
لا املك دليلا,i dont have any evidence
هل تنوي ان تساعدهم,are you planning to help them
خذ وقتك لسنا مستعجلين,take your time theres no hurry
انا لم اري شيئا مثل ذلك,ive never seen anything like that
كنت عطشانا فاردت ان اشرب شيئا باردا,i was very thirsty and i wanted to drink something cold
امش بسرعه والا فاتك القطار,walk faster or youll miss the train
اود ان اطلب منك معروفا,id like to ask a favor of you
يعتقد انه كان جنديا شجاعا,it is believed that he was a brave soldier
احب توم تسريحه شعر ماري الجديده,tom liked marys new hairstyle
اصبح توم شرطيا,tom became a policeman
انا نعسان,im sleepy
لماذا انت في عجله من امرك هكذا,why are you in such a hurry
كان من الغباء مني ان اقترف خطا كهذا,it was stupid of me to make such a mistake
هل دفعت ثمن الكتاب,did you pay for the book
هذا الشبل من ذاك الاسد,like father like son
دعنا نستعد للذهاب,lets get ready to go
انه مولع بك,hes crazy about you
اتريد لعب الغولف ام لا,do you want to play golf or not
خسر توم ثلاثه ملايين دولار السنه الماضيه,tom lost three million dollars last year
ابي غاضب معي,father is angry with me
توم يعرف انني اوده,tom knows i like him
كيف حالك يا توم,how are you tom
هل انتهيت من استعمال الهاتف,are you through with the phone
دعنا لا نستبق الامور,lets not jump the gun
سررت بمعرفتك,im pleased to meet you
الساعه مثبته فوق الحائط,the clock is above the fireplace
بارد كالثلج,its as cold as ice
دعينا نقسم الفاتوره باربعه طرق,lets split the bill four ways
انا لا اعرفك,i dont know you
هيا لنذهب,lets go
انا من كيوتو,im from kyoto
هلا اغلقت الباب حسنا,would you mind shutting the door no not at all
كيف تعلم بملكيه توم لهذا,how do you know that belongs to tom
يصنع الخبز من القمح,bread is made from wheat
اين زوارق النجاه,where are the lifeboats
لا اريد خسارتك,i dont want to lose you
قرر توم ان يبدا بتعلم اللغه الفرنسيه,tom has decided to start studying french
ساذهب والقي نظره اخري,ill go and have another look
لمن هذا القلم,whose pen is this
يدرس توم في المكتبه الان,tom is now studying in the library
هاجم اليابانيون ميناء بيرل في السابع من ديسيمبر عام واحد و اربعين,the japanese attacked pearl harbor on december 7 1941
بني سياجا خشبيا حول بيته,he built a fence around his house
لماذا كنت هناك,why were you there
انا بحثت في كل مكان,ive looked everywhere
هذه خطه جيده,thats a good plan
ندمت بحق علي ما قلته لها البارحه,i really regret what i said to her yesterday
لا بد انهم ينتظرونك,they must be waiting for you
اخبرني انه يريد ترك الشركه,he told me that he wanted to leave the company
نجا من الموت باعجوبه,he narrowly escaped death
انا حقا اتتطلع لحفله الليله,im really looking forward to tonights concert
كانت علي الارجح غير صحيحه,it was probably not true
متاكد ان توم لن يفعل شيئا كهذا,im sure tom would never do something like that
لو سمحت اقل البيض قليلا كي لا يصير البياض قاسيا,please boil the eggs just a little so that even the whites are not quite hard
هل ستبيع منزلك له,will you sell your house to him
انظروا الي السبوره جميعكم,look at the blackboard everyone
رجاء املا هذا النموذج اولا,please fill out this form first
ليس لنا علاقه,were not involved
فقط اخبرني ماذا تريد,just tell me what you want
الاسعار مرتفعه,prices are high
تواجه اليابان ازمات اقتصاديه قاسيه,japan is confronted with severe economic problems
انت تحب اللغه الانجليزيه اليس كذلك,you like english dont you
انت لا تستطيعين تحدث الانجليزيه هل تستطيعين,you cant speak english can you
حصل علي الكره,he got the ball
هل تضحك علي,are you laughing at me
الشرطه تبحث عني,the police are after me
انت يمكنك دائما النوم علي اريكتي,you can always sleep on my couch
توم يعيش مع عمه الان,tom is living with his uncle now
فقط اخبريني ما الذي تريدينه,just tell me what you want
ما مهنتك,what do you do for a living
السياح اليابانيون في الخارج هم اكبر منفقي النقود,japanese tourists abroad are big spenders
لقد ذهب ابي الي الصين,my father has gone to china
ليس لدي نقود,i dont have money
من الافضل ان اسئلها,i had better ask her
تقول الاسطوره ان هذا البيت مسكون,legend has it that this house is haunted
عندي ابنان,i have two sons
عدد لا يستهان به من الناس يملكون سيارتين,quite a few people have two cars
اسعدنياجعلني سعيدا,make me happy
ما رايك,what do you think
خذ اي الكتابين تريد,you can take either book
هبطت الطائره بسلام,the airplane made a safe landing
ظننت انك قد تشعر بالاسف علي توم,i thought you might feel sorry for tom
رجاء اركن في الخلف,please park in the back
انهم يتجاهلونني,theyre ignoring me
اود ان اراها,i would like to see it
اي لون تفضل الازرق ام الاحمر,which color do you like more blue or red
تعد امي كعكه لابي,my mother is making a cake for my father
في البدايه وجد صعوبه في الاعتياد علي العيش في بيته الجديد,at first he had trouble adjusting to living in his new house
انها تبحث عن مفاتيح سيارتها,she is looking for her car keys
احب الافلام,i like movies
استمطر اليوم,will it rain today
لا اعرف متي سيكون هنا,i dont know when hell be here
حلمت بحلم غريب ليله الامس,i had a strange dream last night
هل تريدني ان اتي,do you want me to come
انها مشغوله الان لذا لا تستطيع التحدث معك,shes busy now so she cant talk with you
انا احاول ان انام,im trying to sleep
علي السائقين ان ينتبهوا لقواعد المرور,drivers should be aware of the traffic rules
من يقف هناك,who is standing there
وصلت منذ لحظات,i just arrived now
لا ادري ايهما اسوا ان تكون غبيا ام ان تتظاهر بالغباء,i dont know whats worse being stupid or pretending to be stupid
كم الساعه الان انها الثالثه وعشرون دقيقه,what time is it its 320
كان من الممكن ان اري كيلي لو انني وصلت مبكرا,had i arrived earlier i could have seen kelly
لا باس ساتولي انا الامر,all right ill do it
لا يشرب اي من اصدقائي القهوه,none of my friends drink coffee
سباحه توم سريعه جدا,tom swims very fast
ما الذي اغضبك بهذا الشكل,what made you so angry
اعطني كاسا من الماء من فضلك,please give me a glass of water
يجب ان تنتظر,you need to wait
انا مستعد للمغادره الان,im ready to leave now
توم ليس غبيا علي الاطلاق,tom isnt at all stupid
عد الي مقعدك,go back to your seat
لم تعد الي نقودي,she didnt give me my money back
لماذا فعلت ذلك,why did you do that
ااشتري لك شرابا اخر,can i buy you another drink
لا احب ان اطبخ عندما يكون الجو حارا,i dont like to cook when its hot outside
هل تريد ان تشرب,do you want a drink
ظننتك قلت انك لا تحب توم,i thought you said you didnt like tom
مات توم امس,tom died yesterday
عليك ان تنظف غرفتك,you must clean your room
تعطل تلفزيوني مجددا,my tv is on the fritz again
ساوصلك الي البيت,ill take you home
شكرا انا فقط اتفرج,im just looking thank you
سانتظر اعلي الدرج,ill wait upstairs
هل ستاتي ام لا,are you coming or not
انهم يعاملوني كطفل,theyre treating me like a child
امي تكبر ابي عمرا,mom is older than dad
يمكن معالجه السرطان اذا اكتشف في مرحله مبكره,cancer can be cured easily if it is found in its first phase
اعطتني هديه,she gave me a present
لدي ذلك الفريق لاعبون اقوياء البنيه,that team has strong players
تبدو شاحبا للغايه,you look very pale
كان الحارس علي راس مهمته طوال الليل,the guard was on duty all night
ايمكنني الذهاب الي الحمام,may i use the toilet
هيا بنا,lets go
لقد كان احمق بما يكفي ليصدق ما قالته,he was foolish enough to believe what she said
بدا توم وكانه ثري,tom looked like he was rich
ماذا اجبته,what did you answer
هم من السويد,they come from sweden
لا احد بالداخل,theres nobody inside
هذه المساله سهله لدرجه ان اي طالب يمكنه حلها,this is such an easy problem that any student can solve it
سالت صاحبه المحل ولكن الا تظنها كبيره قليلا,but dont you think that its a little big asked the shopkeeper
لقد فعلت ذلك مرات عديده,ive done that many times
سالت سؤالا مهما,she asked a very good question
القطط حيوانات في غايه النظافه,cats are very clean animals
لا يطيق صبرا ليراك,he cant wait to see you
اين تعمل,where do you work
بالكاد اسمعك,i can hardly hear you
انه غاضب معي,he is angry with me
الكثير من المتاحف تكون مغلقه ايام الاثنين,many museums are closed on mondays
لا يمكنني فهم مشاعره,i cant understand his feelings
لتوم ابتسامه جميله,tom has a nice smile
الجو حار جدا,its too hot
اسعدتني رسالتك,your letter made me happy
يسكن توم في حي فقير,tom lives in a poor neighborhood
هذه النافذه ضد الرصاص,these windows are bulletproof
احقا تستطيع فعلها,can you really do it
انا اعرفه,i know him
شكرا علي الشرح,thanks for your explanation
ساخرج بعد ساعه,im going out in an hour
انها مقصد مشهور للسياح,it is a very popular destination for tourists
لا استطيع ان اجد ساعتي,i cant find my watch
يحتوي هذا الكتاب علي صور كثيره,this book contains many pictures
هل تؤمن بوجود الاشباح,do you believe in the existence of ghosts
من غير المحتمل ان يكون توم قادرا علي التعامل مع الوضع,tom wont likely be able to cope with the situation
ابق الاطفال بعيدا عن الادويه,keep children away from medicine
الافعال ابلغ من الاقوال,actions speak louder than words
ما كان يجب علي ان اخبرك بكل شيء,i shouldnt have told you anything
هل يوجد شيء يزعجك,is something troubling you
